Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Georges Hugnet,La Septième Face du Dé,1936,92,"Paris: Editions Jeanne Bucher, 1936.","4to.; black-and-white photo-collages, several hand-colored; original photo-collage frontispiece; photographically embossed wrappers; hand-sewn.","One of twenty lettered copies printed on blue paper, inscribed to Dora Maar; 294 copies, the entire edition.",original photograph,CORE,Very high,Yes,1,V1: 104-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Margaret Bourke-White and Erskine Caldwell,You Have Seen Their Faces,1937,94,"New York: Viking Press, 1937.","Small 4to.; black-and-white photographs; tan cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 140-1,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Leni Riefenstahl,Schönheit im Olympischen Kampf,1937,96,"Berlin: lm Deutschen Verlag, (1937).","Folio; gravure plates; orange cloth, stamped in gilt; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 172-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Walker Evans,American Photographs,1938,98,"(New York): The Museum of Modern Art, (1938).","Small 4to.; black-and-white photographs; black cloth, cream paper spine label; printed dust jacket; printed belly band.","5,000 copies, the entire edition.","dust jacket; belly band",CORE,Very high,Yes,1,V1: 114-15,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Berenice Abbott,Changing New York,1939,100,"New York: E.P. Dutton & Company, Inc., 1939.","4to.; black-and-white photographs; blue cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 141,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Dorothea Lange and Paul Schuster Taylor,An American Exodus,1939,102,"New York: Reynal & Hitchcock, (1939).","4to.; black-and-white photographs; blue cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 142-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Walker Evans and James Agee,Let Us Now Praise Famous Men,1941,108,"Boston: Houghton Mifflin Company, 1941.","8vo.; black-and-white photograph section preceding title page; black cloth; printed dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 144,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Alexey Brodovitch,Ballet,1945,110,"(New York: J. J. Augustin Publisher, 1945.)","Oblong 8vo.; 104 gravure plates; various decorative typefaces on table of contents; plain boards; cloth tape spine; gray printed dust jacket, French fold.","500 copies, the entire edition.",dust jacket,CORE,Very high,Yes,1,V1: 240-1,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,André Kertész,Day of Paris,1945,114,"New York: J. J. Augustin, (1945).","Small 4to.; black-and-white photographs; illustrated endpapers; yellow cloth; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 204-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Jindřich Štyrský and Jindřich Heisler,Na jehlách těchto dní,1945,116,"(Praha, Czechoslovakia): Fr. Borovy, (1945).","8vo.; gravure plates; photographically illustrated wrappers.",,,CORE,Very high,Yes,1,V1: 197,Medium provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
